GeneID	Symbol
ENSG00000124092	CTCFL
ENSG00000060069	CTDP1
ENSG00000144677	CTDSPL
ENSG00000168036	CTNNB1
ENSG00000178585	CTNNBIP1
ENSG00000132792	CTNNBL1
ENSG00000198730	CTR9
ENSG00000257923	CUX1
ENSG00000111249	CUX2
ENSG00000154832	CXXC1
ENSG00000153071	DAB2
ENSG00000276644	DACH1
ENSG00000126733	DACH2
ENSG00000204209	DAXX
ENSG00000183283	DAZAP2
ENSG00000105516	DBP
ENSG00000272886	DCP1A
ENSG00000167986	DDB1
ENSG00000134574	DDB2
ENSG00000175197	DDIT3
ENSG00000064703	DDX20
ENSG00000108654	DDX5
ENSG00000123064	DDX54
ENSG00000177030	DEAF1
ENSG00000158796	DEDD
ENSG00000160570	DEDD2
ENSG00000124795	DEK
ENSG00000174485	DENND4A
ENSG00000140829	DHX38
ENSG00000101191	DIDO1
ENSG00000151240	DIP2C
ENSG00000144355	DLX1
ENSG00000115844	DLX2
ENSG00000064195	DLX3
ENSG00000108813	DLX4
ENSG00000105880	DLX5
ENSG00000006377	DLX6
ENSG00000178028	DMAP1
ENSG00000197587	DMBX1
ENSG00000137090	DMRT1
ENSG00000173253	DMRT2
ENSG00000064218	DMRT3
ENSG00000176399	DMRTA1
ENSG00000143006	DMRTB1
ENSG00000142025	DMRTC2
ENSG00000135164	DMTF1
ENSG00000105821	DNAJC2
ENSG00000130816	DNMT1
ENSG00000119772	DNMT3A
ENSG00000142182	DNMT3L
ENSG00000104885	DOT1L
ENSG00000011332	DPF1
ENSG00000133884	DPF2
ENSG00000205683	DPF3
ENSG00000117505	DR1
ENSG00000175550	DRAP1
ENSG00000135144	DTX1
ENSG00000260596	DUX4
ENSG00000101412	E2F1
ENSG00000007968	E2F2
ENSG00000112242	E2F3
ENSG00000205250	E2F4
ENSG00000133740	E2F5
ENSG00000169016	E2F6
ENSG00000129173	E2F8
ENSG00000167967	E4F1
ENSG00000144597	EAF1
ENSG00000164330	EBF1
ENSG00000221818	EBF2
ENSG00000108001	EBF3
ENSG00000088881	EBF4
ENSG00000122882	ECD
ENSG00000107223	EDF1
ENSG00000074266	EED
ENSG00000156508	EEF1A1
ENSG00000120738	EGR1
ENSG00000122877	EGR2
ENSG00000179388	EGR3
ENSG00000135625	EGR4
ENSG00000135373	EHF
ENSG00000181090	EHMT1
ENSG00000204371	EHMT2
ENSG00000055332	EIF2AK2
ENSG00000158417	EIF5B
ENSG00000107105	ELAVL2
ENSG00000120690	ELF1
ENSG00000109381	ELF2
ENSG00000163435	ELF3
ENSG00000102034	ELF4
ENSG00000135374	ELF5
ENSG00000126767	ELK1
ENSG00000111145	ELK3
ENSG00000158711	ELK4
ENSG00000105656	ELL
ENSG00000118985	ELL2
ENSG00000128886	ELL3
ENSG00000135638	EMX1
ENSG00000170370	EMX2
ENSG00000163064	EN1
ENSG00000164778	EN2
ENSG00000074800	ENO1
ENSG00000163508	EOMES
ENSG00000100393	EP300
ENSG00000183495	EP400
ENSG00000116016	EPAS1
ENSG00000120616	EPC1
ENSG00000104884	ERCC2
ENSG00000163161	ERCC3
ENSG00000225830	ERCC6
ENSG00000049167	ERCC8
ENSG00000105722	ERF
ENSG00000157554	ERG
ENSG00000135476	ESPL1
ENSG00000091831	ESR1
ENSG00000140009	ESR2
ENSG00000173153	ESRRA
ENSG00000119715	ESRRB
ENSG00000196482	ESRRG
ENSG00000123576	ESX1
ENSG00000134954	ETS1
ENSG00000157557	ETS2
ENSG00000006468	ETV1
ENSG00000105672	ETV2
ENSG00000117036	ETV3
ENSG00000175832	ETV4
ENSG00000244405	ETV5
ENSG00000139083	ETV6
ENSG00000010030	ETV7
ENSG00000106038	EVX1
ENSG00000182944	EWSR1
ENSG00000064655	EYA2
ENSG00000158161	EYA3
ENSG00000112319	EYA4
ENSG00000108799	EZH1
ENSG00000106462	EZH2
ENSG00000162894	FAIM3
ENSG00000203780	FANK1
ENSG00000099364	FBXL19
ENSG00000100225	FBXO7
ENSG00000163497	FEV
ENSG00000115641	FHL2
ENSG00000112214	FHL5
ENSG00000183733	FIGLA
ENSG00000179943	FIZ1
ENSG00000151702	FLI1
ENSG00000102081	FMR1
ENSG00000170345	FOS
ENSG00000125740	FOSB
ENSG00000175592	FOSL1
ENSG00000075426	FOSL2
ENSG00000129514	FOXA1
ENSG00000125798	FOXA2
ENSG00000170608	FOXA3
ENSG00000171956	FOXB1
ENSG00000054598	FOXC1
ENSG00000176692	FOXC2
ENSG00000251493	FOXD1
ENSG00000186564	FOXD2
ENSG00000187140	FOXD3
ENSG00000170122	FOXD4
ENSG00000184492	FOXD4L1
ENSG00000187559	FOXD4L3
ENSG00000184659	FOXD4L4
ENSG00000178919	FOXE1
ENSG00000186790	FOXE3
ENSG00000103241	FOXF1
ENSG00000137273	FOXF2
ENSG00000176165	FOXG1
ENSG00000160973	FOXH1
ENSG00000168269	FOXI1
ENSG00000129654	FOXJ1
ENSG00000065970	FOXJ2
ENSG00000198815	FOXJ3
ENSG00000141568	FOXK2
ENSG00000176678	FOXL1
ENSG00000183770	FOXL2
ENSG00000111206	FOXM1
ENSG00000109101	FOXN1
ENSG00000170802	FOXN2
ENSG00000053254	FOXN3
ENSG00000139445	FOXN4
ENSG00000150907	FOXO1
ENSG00000118689	FOXO3
ENSG00000184481	FOXO4
ENSG00000114861	FOXP1
ENSG00000128573	FOXP2
ENSG00000049768	FOXP3
ENSG00000137166	FOXP4
ENSG00000164379	FOXQ1
ENSG00000179772	FOXS1
ENSG00000162613	FUBP1
ENSG00000107164	FUBP3
ENSG00000089280	FUS
ENSG00000114416	FXR1
ENSG00000129245	FXR2
ENSG00000154727	GABPA
ENSG00000143458	GABPB2
ENSG00000102145	GATA1
ENSG00000179348	GATA2
ENSG00000107485	GATA3
ENSG00000136574	GATA4
ENSG00000130700	GATA5
ENSG00000141448	GATA6
ENSG00000157259	GATAD1
ENSG00000167491	GATAD2A
ENSG00000143614	GATAD2B
ENSG00000168505	GBX2
ENSG00000005436	GCFC2
ENSG00000137270	GCM1
ENSG00000124827	GCM2
ENSG00000162676	GFI1
ENSG00000165702	GFI1B
ENSG00000111087	GLI1
ENSG00000074047	GLI2
ENSG00000106571	GLI3
ENSG00000250571	GLI4
ENSG00000174332	GLIS1
ENSG00000126603	GLIS2
ENSG00000107249	GLIS3
ENSG00000162419	GMEB1
ENSG00000101216	GMEB2
ENSG00000116580	GON4L
ENSG00000134317	GRHL1
ENSG00000133937	GSC
ENSG00000063515	GSC2
ENSG00000169840	GSX1
ENSG00000180613	GSX2
ENSG00000165417	GTF2A1
ENSG00000242441	GTF2A1L
ENSG00000140307	GTF2A2
ENSG00000137947	GTF2B
ENSG00000153767	GTF2E1
ENSG00000197265	GTF2E2
ENSG00000125651	GTF2F1
ENSG00000188342	GTF2F2
ENSG00000110768	GTF2H1
ENSG00000145736	GTF2H2
ENSG00000111358	GTF2H3
ENSG00000213780	GTF2H4
ENSG00000263001	GTF2I
ENSG00000006704	GTF2IRD1
ENSG00000122034	GTF3A
ENSG00000077235	GTF3C1
ENSG00000115207	GTF3C2
ENSG00000119041	GTF3C3
ENSG00000125484	GTF3C4
ENSG00000148308	GTF3C5
ENSG00000125812	GZF1
ENSG00000189060	H1F0
ENSG00000184897	H1FX
ENSG00000130956	HABP4
ENSG00000113196	HAND1
ENSG00000164107	HAND2
ENSG00000143575	HAX1
ENSG00000105856	HBP1
ENSG00000172534	HCFC1
ENSG00000180353	HCLS1
ENSG00000116478	HDAC1
ENSG00000100429	HDAC10
ENSG00000163517	HDAC11
ENSG00000196591	HDAC2
ENSG00000171720	HDAC3
ENSG00000068024	HDAC4
ENSG00000108840	HDAC5
ENSG00000061273	HDAC7
ENSG00000147099	HDAC8
ENSG00000048052	HDAC9
ENSG00000143321	HDGF
ENSG00000167674	HDGFRP2
ENSG00000165259	HDX
ENSG00000198265	HELZ
ENSG00000114315	HES1
ENSG00000069812	HES2
ENSG00000188290	HES4
ENSG00000144485	HES6
ENSG00000179111	HES7
ENSG00000163666	HESX1
ENSG00000186834	HEXIM1
ENSG00000164683	HEY1
ENSG00000135547	HEY2
ENSG00000163909	HEYL
ENSG00000152804	HHEX
ENSG00000177374	HIC1
ENSG00000169635	HIC2
ENSG00000100644	HIF1A
ENSG00000166135	HIF1AN
ENSG00000124440	HIF3A
ENSG00000172273	HINFP
ENSG00000064393	HIPK2
ENSG00000100084	HIRA
ENSG00000184357	HIST1H1B
ENSG00000187837	HIST1H1C
ENSG00000124575	HIST1H1D
ENSG00000168298	HIST1H1E
ENSG00000187475	HIST1H1T
ENSG00000276410	HIST1H2BB
ENSG00000180596	HIST1H2BC
ENSG00000158373	HIST1H2BD
ENSG00000274290	HIST1H2BE
ENSG00000273802	HIST1H2BG
ENSG00000275713	HIST1H2BH
ENSG00000124635	HIST1H2BJ
ENSG00000233822	HIST1H2BN
ENSG00000184678	HIST2H2BE
ENSG00000095951	HIVEP1
ENSG00000010818	HIVEP2
ENSG00000127124	HIVEP3
ENSG00000181666	HKR1
ENSG00000108924	HLF
ENSG00000071794	HLTF
ENSG00000136630	HLX
ENSG00000147421	HMBOX1
ENSG00000140382	HMG20A
ENSG00000064961	HMG20B
ENSG00000137309	HMGA1
ENSG00000149948	HMGA2
ENSG00000164104	HMGB2
ENSG00000029993	HMGB3
ENSG00000225336	HMGB3P1
ENSG00000176256	HMGB4
ENSG00000205581	HMGN1
ENSG00000198830	HMGN2
ENSG00000118418	HMGN3
ENSG00000182952	HMGN4
ENSG00000198157	HMGN5
ENSG00000113716	HMGXB3
ENSG00000100281	HMGXB4
ENSG00000215612	HMX1
ENSG00000135100	HNF1A
ENSG00000275410	HNF1B
ENSG00000101076	HNF4A
ENSG00000164749	HNF4G
ENSG00000197451	HNRNPAB
ENSG00000138668	HNRNPD
ENSG00000165119	HNRNPK
ENSG00000125944	HNRNPR
ENSG00000105323	HNRNPUL1
ENSG00000215271	HOMEZ
ENSG00000171476	HOPX
ENSG00000105991	HOXA1
ENSG00000253293	HOXA10
ENSG00000005073	HOXA11
ENSG00000106031	HOXA13
ENSG00000105996	HOXA2
ENSG00000105997	HOXA3
ENSG00000197576	HOXA4
ENSG00000106004	HOXA5
ENSG00000106006	HOXA6
ENSG00000122592	HOXA7
ENSG00000078399	HOXA9
ENSG00000120094	HOXB1
ENSG00000159184	HOXB13
ENSG00000173917	HOXB2
ENSG00000120093	HOXB3
ENSG00000182742	HOXB4
ENSG00000120075	HOXB5
ENSG00000108511	HOXB6
ENSG00000260027	HOXB7
ENSG00000120068	HOXB8
ENSG00000170689	HOXB9
ENSG00000180818	HOXC10
ENSG00000123388	HOXC11
ENSG00000123407	HOXC12
ENSG00000123364	HOXC13
ENSG00000198353	HOXC4
ENSG00000172789	HOXC5
ENSG00000197757	HOXC6
ENSG00000037965	HOXC8
ENSG00000180806	HOXC9
ENSG00000128645	HOXD1
ENSG00000128710	HOXD10
ENSG00000128713	HOXD11
ENSG00000170178	HOXD12
ENSG00000128714	HOXD13
ENSG00000128652	HOXD3
ENSG00000170166	HOXD4
ENSG00000175879	HOXD8
ENSG00000128709	HOXD9
ENSG00000168453	HR
ENSG00000230989	HSBP1
ENSG00000185122	HSF1
ENSG00000025156	HSF2
ENSG00000160207	HSF2BP
ENSG00000102878	HSF4
ENSG00000171116	HSFX1
ENSG00000172468	HSFY1
ENSG00000109854	HTATIP2
ENSG00000102241	HTATSF1
ENSG00000197386	HTT
ENSG00000125968	ID1
ENSG00000115738	ID2
ENSG00000117318	ID3
ENSG00000172201	ID4
ENSG00000163565	IFI16
ENSG00000132740	IGHMBP2
ENSG00000104365	IKBKB
ENSG00000269335	IKBKG
ENSG00000185811	IKZF1
ENSG00000030419	IKZF2
ENSG00000161405	IKZF3
ENSG00000143621	ILF2
ENSG00000129351	ILF3
ENSG00000153487	ING1
ENSG00000168556	ING2
ENSG00000071243	ING3
ENSG00000111653	ING4
ENSG00000168395	ING5
ENSG00000173404	INSM1
ENSG00000168348	INSM2
ENSG00000138785	INTS12
ENSG00000125347	IRF1
ENSG00000168310	IRF2
ENSG00000170604	IRF2BP1
ENSG00000126456	IRF3
ENSG00000137265	IRF4
ENSG00000128604	IRF5
ENSG00000117595	IRF6
ENSG00000185507	IRF7
ENSG00000140968	IRF8
ENSG00000213928	IRF9
ENSG00000170549	IRX1
ENSG00000170561	IRX2
ENSG00000177508	IRX3
ENSG00000113430	IRX4
ENSG00000176842	IRX5
ENSG00000159387	IRX6
ENSG00000016082	ISL1
ENSG00000159556	ISL2
ENSG00000116679	IVNS1ABP
ENSG00000008083	JARID2
ENSG00000153814	JAZF1
ENSG00000140044	JDP2
ENSG00000171988	JMJD1C
ENSG00000152409	JMY
ENSG00000234616	JRK
ENSG00000177606	JUN
ENSG00000171223	JUNB
ENSG00000130522	JUND
ENSG00000197256	KANK2
ENSG00000114166	KAT2B
ENSG00000172977	KAT5
ENSG00000083168	KAT6A
ENSG00000156650	KAT6B
ENSG00000136504	KAT7
ENSG00000115041	KCNIP3
ENSG00000173120	KDM2A
ENSG00000089094	KDM2B
ENSG00000066135	KDM4A
ENSG00000127663	KDM4B
ENSG00000274527	KDM4C
ENSG00000107077	KDM4C
ENSG00000073614	KDM5A
ENSG00000117139	KDM5B
ENSG00000126012	KDM5C
ENSG00000012817	KDM5D
ENSG00000121774	KHDRBS1
ENSG00000112232	KHDRBS2
ENSG00000088247	KHSRP
ENSG00000105610	KLF1
ENSG00000155090	KLF10
ENSG00000172059	KLF11
ENSG00000118922	KLF12
ENSG00000169926	KLF13
ENSG00000266265	KLF14
ENSG00000163884	KLF15
ENSG00000129911	KLF16
ENSG00000127528	KLF2
ENSG00000109787	KLF3
ENSG00000136826	KLF4
ENSG00000102554	KLF5
ENSG00000067082	KLF6
ENSG00000118263	KLF7
ENSG00000102349	KLF8
ENSG00000119138	KLF9
ENSG00000184445	KNTC1
ENSG00000133619	KRBA1
ENSG00000185513	L3MBTL1
ENSG00000100395	L3MBTL2
ENSG00000198945	L3MBTL3
ENSG00000154655	L3MBTL4
ENSG00000138136	LBX1
ENSG00000196233	LCOR
ENSG00000178177	LCORL
ENSG00000198728	LDB1
ENSG00000169744	LDB2
ENSG00000138795	LEF1
ENSG00000273706	LHX1
ENSG00000106689	LHX2
ENSG00000107187	LHX3
ENSG00000121454	LHX4
ENSG00000089116	LHX5
ENSG00000106852	LHX6
ENSG00000143355	LHX9
ENSG00000144791	LIMD1
ENSG00000131914	LIN28A
ENSG00000166407	LMO1
ENSG00000135363	LMO2
ENSG00000048540	LMO3
ENSG00000143013	LMO4
ENSG00000162761	LMX1A
ENSG00000136944	LMX1B
ENSG00000124831	LRRFIP1
ENSG00000104903	LYL1
ENSG00000099949	LZTR1
ENSG00000061337	LZTS1
ENSG00000178573	MAF
ENSG00000179632	MAF1
ENSG00000182759	MAFA
ENSG00000204103	MAFB
ENSG00000185022	MAFF
ENSG00000197063	MAFG
ENSG00000198517	MAFK
ENSG00000161021	MAML1
ENSG00000196782	MAML3
ENSG00000280987	MATR3
ENSG00000015479	MATR3
ENSG00000125952	MAX
ENSG00000103495	MAZ
ENSG00000141644	MBD1
ENSG00000134046	MBD2
ENSG00000071655	MBD3
ENSG00000170948	MBD3L1
ENSG00000073111	MCM2
ENSG00000112118	MCM3
ENSG00000104738	MCM4
ENSG00000100297	MCM5
ENSG00000076003	MCM6
ENSG00000166508	MCM7
ENSG00000125885	MCM8
ENSG00000111877	MCM9
ENSG00000198625	MDM4
ENSG00000085276	MECOM
ENSG00000169057	MECP2
ENSG00000125686	MED1
ENSG00000184634	MED12
ENSG00000108510	MED13
ENSG00000180182	MED14
ENSG00000099917	MED15
ENSG00000175221	MED16
ENSG00000042429	MED17
ENSG00000124641	MED20
ENSG00000152944	MED21
ENSG00000112282	MED23
ENSG00000105085	MED26
ENSG00000160563	MED27
ENSG00000164758	MED30
ENSG00000108590	MED31
ENSG00000136146	MED4
ENSG00000133997	MED6
ENSG00000155868	MED7
ENSG00000159479	MED8
ENSG00000068305	MEF2A
ENSG00000213999	MEF2B
ENSG00000081189	MEF2C
ENSG00000116604	MEF2D
ENSG00000143995	MEIS1
ENSG00000134138	MEIS2
ENSG00000105419	MEIS3
ENSG00000179277	MEIS3P1
ENSG00000133895	MEN1
ENSG00000005102	MEOX1
ENSG00000106511	MEOX2
ENSG00000129534	MIS18BP1
ENSG00000187098	MITF
ENSG00000185155	MIXL1
ENSG00000196588	MKL1
ENSG00000186260	MKL2
ENSG00000150051	MKX
ENSG00000130382	MLLT1
ENSG00000078403	MLLT10
ENSG00000171843	MLLT3
ENSG00000275023	MLLT6
ENSG00000108788	MLX
ENSG00000175727	MLXIP
ENSG00000009950	MLXIPL
ENSG00000155229	MMS19
ENSG00000163563	MNDA
ENSG00000070444	MNT
ENSG00000130675	MNX1
ENSG00000234801	MORF4
ENSG00000196199	MPHOSPH8
ENSG00000168303	MPLKIP
ENSG00000178860	MSC
ENSG00000005302	MSL3
ENSG00000163132	MSX1
ENSG00000120149	MSX2
ENSG00000182979	MTA1
ENSG00000149480	MTA2
ENSG00000057935	MTA3
ENSG00000188786	MTF1
ENSG00000143033	MTF2
ENSG00000059728	MXD1
ENSG00000213347	MXD3
ENSG00000123933	MXD4
ENSG00000119950	MXI1
ENSG00000118513	MYB
ENSG00000132382	MYBBP1A
ENSG00000185697	MYBL1
ENSG00000101057	MYBL2
ENSG00000136997	MYC
ENSG00000214114	MYCBP
ENSG00000134323	MYCN
ENSG00000104177	MYEF2
ENSG00000111049	MYF5
ENSG00000111046	MYF6
ENSG00000085274	MYNN
ENSG00000141052	MYOCD
ENSG00000129152	MYOD1
ENSG00000122180	MYOG
ENSG00000196132	MYT1
ENSG00000186487	MYT1L
ENSG00000099326	MZF1
ENSG00000164134	NAA15
ENSG00000138386	NAB1
ENSG00000166886	NAB2
ENSG00000111704	NANOG
ENSG00000205857	NANOGNB
ENSG00000186462	NAP1L2
ENSG00000186310	NAP1L3
ENSG00000205531	NAP1L4
ENSG00000084676	NCOA1
ENSG00000140396	NCOA2
ENSG00000124151	NCOA3
ENSG00000266412	NCOA4
ENSG00000124160	NCOA5
ENSG00000198646	NCOA6
ENSG00000141027	NCOR1
ENSG00000196498	NCOR2
ENSG00000182636	NDN
ENSG00000185115	NDNL2
ENSG00000154328	NEIL2
ENSG00000162992	NEUROD1
ENSG00000171532	NEUROD2
ENSG00000123307	NEUROD4
ENSG00000164600	NEUROD6
ENSG00000181965	NEUROG1
ENSG00000178403	NEUROG2
ENSG00000122859	NEUROG3
ENSG00000102908	NFAT5
ENSG00000131196	NFATC1
ENSG00000101096	NFATC2
ENSG00000072736	NFATC3
ENSG00000100968	NFATC4
ENSG00000123405	NFE2
ENSG00000082641	NFE2L1
ENSG00000116044	NFE2L2
ENSG00000050344	NFE2L3
ENSG00000162599	NFIA
ENSG00000147862	NFIB
ENSG00000141905	NFIC
ENSG00000165030	NFIL3
ENSG00000008441	NFIX
ENSG00000109320	NFKB1
ENSG00000077150	NFKB2
ENSG00000100906	NFKBIA
ENSG00000104825	NFKBIB
ENSG00000204498	NFKBIL1
ENSG00000144802	NFKBIZ
ENSG00000170322	NFRKB
ENSG00000086102	NFX1
ENSG00000170448	NFXL1
ENSG00000001167	NFYA
ENSG00000120837	NFYB
ENSG00000066136	NFYC
ENSG00000171786	NHLH1
ENSG00000177551	NHLH2
ENSG00000145506	NKD2
ENSG00000186416	NKRF
ENSG00000136352	NKX2-1
ENSG00000125820	NKX2-2
ENSG00000119919	NKX2-3
ENSG00000183072	NKX2-5
ENSG00000136327	NKX2-8
ENSG00000167034	NKX3-1
ENSG00000109705	NKX3-2
ENSG00000163623	NKX6-1
ENSG00000148826	NKX6-2
ENSG00000165066	NKX6-3
ENSG00000011052	NME2
ENSG00000123609	NMI
ENSG00000147140	NONO
ENSG00000134250	NOTCH2
ENSG00000074181	NOTCH3
ENSG00000204301	NOTCH4
ENSG00000130751	NPAS1
ENSG00000170485	NPAS2
ENSG00000151322	NPAS3
ENSG00000181163	NPM1
ENSG00000158806	NPM2
ENSG00000169297	NR0B1
ENSG00000131910	NR0B2
ENSG00000126368	NR1D1
ENSG00000174738	NR1D2
ENSG00000131408	NR1H2
ENSG00000025434	NR1H3
ENSG00000012504	NR1H4
ENSG00000144852	NR1I2
ENSG00000143257	NR1I3
ENSG00000120798	NR2C1
ENSG00000177463	NR2C2
ENSG00000112333	NR2E1
ENSG00000278570	NR2E3
ENSG00000175745	NR2F1
ENSG00000185551	NR2F2
ENSG00000160113	NR2F6
ENSG00000113580	NR3C1
ENSG00000151623	NR3C2
ENSG00000123358	NR4A1
ENSG00000153234	NR4A2
ENSG00000119508	NR4A3
ENSG00000136931	NR5A1
ENSG00000116833	NR5A2
ENSG00000148572	NRBF2
ENSG00000106459	NRF1
ENSG00000180530	NRIP1
ENSG00000129535	NRL
ENSG00000165671	NSD1
ENSG00000176046	NUPR1
ENSG00000184221	OLIG1
ENSG00000205927	OLIG2
ENSG00000177468	OLIG3
ENSG00000169856	ONECUT1
ENSG00000119547	ONECUT2
ENSG00000115942	ORC2
ENSG00000115507	OTX1
ENSG00000165588	OTX2
ENSG00000172818	OVOL1
ENSG00000125850	OVOL2
ENSG00000170515	PA2G4
ENSG00000090060	PAPOLA
ENSG00000218823	PAPOLB
ENSG00000115421	PAPOLG
ENSG00000140694	PARN
ENSG00000143799	PARP1
ENSG00000100105	PATZ1
